timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,Race split,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[FR] Flip Rate,sex|[FR] Flip Rate,accuracy,precision,recall,f1score,[MEOD] M Equal Opportunity Difference,[MEOD] M Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|sex|[DI] Disparate Impact,VAR|race|[FR] Flip Rate,VAR|sex|[FR] Flip Rate,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MEOD] M Average Odds Difference
2023-03-05 23:43:22.144187,20,False,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",Hispanic,0.1159344999999999,0.06477,0.0833025,0.0722225,0.1316739999999999,0.0990655,0.2139694999999999,0.1390649999999999,0.0,0.0,0.6509742519137092,0.6610235,0.7537624999999999,0.7042349999999999,0.174195,0.21289,0.00157354049475,0.00050724628,0.0017351077287499,0.0008322010187499,0.001317547934,0.00058101136475,0.00365475302475,0.0009426044649999,0.0,0.0,0.0001437539740306,0.0001667198027499,0.0002107594687499,0.000103965955,0.003778503245,0.00234703528
2023-03-05 23:43:22.134079,20,False,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",Other,0.1391234999999999,0.06477,0.0805025,0.0722225,0.1480585,0.0990655,0.238649,0.1390649999999999,0.0,0.0,0.6509742519137092,0.6610235,0.7537624999999999,0.7042349999999999,0.2324059999999999,0.2668355,0.00438831843275,0.00050724628,0.00264588150875,0.0008322010187499,0.00391928058275,0.00058101136475,0.010227486379,0.0009426044649999,0.0,0.0,0.0001437539740306,0.0001667198027499,0.0002107594687499,0.000103965955,0.0039270360139999,0.0062398629547499
2023-03-05 23:43:22.103827,20,False,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",African-American,0.1762999999999999,0.06477,0.1550039999999999,0.0722225,0.2062175,0.0990655,0.2805425,0.1390649999999999,0.0,0.0,0.6509742519137092,0.6610235,0.7537624999999999,0.7042349999999999,0.2113014999999999,0.2170119999999999,0.0002637670899999,0.00050724628,0.000663874354,0.0008322010187499,0.00047324852875,0.00058101136475,0.00072630798875,0.0009426044649999,0.0,0.0,0.0001437539740306,0.0001667198027499,0.0002107594687499,0.000103965955,0.0014541907927499,0.000991115246
2023-03-05 23:43:22.103827,20,False,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",Caucasian,0.129027,0.06477,0.1114805,0.0722225,0.1489185,0.0990655,0.2590945,0.1390649999999999,0.0,0.0,0.6509742519137092,0.6610235,0.7537624999999999,0.7042349999999999,0.162676,0.1689744999999999,0.000659252671,0.00050724628,0.0008534694647499,0.0008322010187499,0.00077367334275,0.00058101136475,0.00305163073475,0.0009426044649999,0.0,0.0,0.0001437539740306,0.0001667198027499,0.0002107594687499,0.000103965955,0.001187206524,0.0012655712147499
2023-03-05 23:42:41.587679,20,False,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",Hispanic,0.100579,0.1151299999999999,0.0592054999999999,0.0946495,0.1155665,0.142029,0.1952655,0.196992,0.240327,0.2534435,0.6449895615866388,0.6606715,0.7272915,0.6921115,0.2259204999999999,0.222543,0.002501681629,0.0008410653299999,0.00224827214475,0.00122182437475,0.0023702298827499,0.000589099349,0.00703439884475,0.000921383636,0.000581314231,0.0003220599827499,0.0001792896164542,0.00037452724275,0.00038437891275,0.00018859219275,0.0070860209247499,0.004498763841
2023-03-05 23:42:41.574350,20,False,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",Other,0.113929,0.1202245,0.100882,0.0930975,0.1354945,0.146141,0.227238,0.201939,0.240327,0.2532005,0.6474599860821154,0.6629079999999999,0.728954,0.6940854999999999,0.2175969999999999,0.315373,0.002908048269,0.0008646551647499,0.002953597896,0.00115545754875,0.00236275293475,0.000575447649,0.006689059156,0.0008782332789999,0.000581314231,0.0003695853447499,0.000161377725283,0.000364809486,0.0003703083939999,0.00017312207475,0.007933736381,0.008776901111
2023-03-05 23:42:41.564401,20,False,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",African-American,0.166254,0.1090845,0.1475,0.1036435,0.197221,0.1401064999999999,0.2785204999999999,0.1940845,0.240327,0.2704945,0.6458594293667361,0.6607649999999999,0.729698,0.6933414999999999,0.2420859999999999,0.2438205,0.000812472294,0.00095632354475,0.00072356546,0.00085143216275,0.000813265599,0.00057471147275,0.00136315514475,0.0007877313947499,0.000581314231,0.00053533172475,0.0001557844209767,0.0003345924649999,0.000272005876,0.00018405043275,0.0021420279439999,0.00241705215475
2023-03-05 23:42:41.564401,20,False,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",Caucasian,0.1174445,0.1145645,0.094871,0.083761,0.1376775,0.139513,0.249437,0.1943515,0.240327,0.2661444999999999,0.6493041057759221,0.6648909999999999,0.728993,0.6952114999999999,0.1620869999999999,0.191231,0.00112108534475,0.00111266514475,0.0008818014489999,0.0012118221789999,0.00089452929875,0.000822957771,0.0035576621009999,0.00131794341275,0.000581314231,0.00037613212475,0.0001223492943477,0.0003195660889999,0.000329656281,0.00014477655275,0.001802149241,0.001560365039
2023-03-05 23:42:17.208053,20,False,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",Hispanic,0.0667775,0.0226605,0.0686645,0.0330965,0.04289,0.0436025,0.0758769999999999,0.071658,0.145581,0.0594285,0.6606819763395964,0.6861470000000001,0.704755,0.695226,0.1520475,0.1292635,0.00094401658875,0.00037638911475,0.00249021198475,0.00065126358275,0.00084642215,0.00057334233875,0.0027034989209999,0.0014407000059999,0.0001984502389999,8.708183274999998e-05,6.355543351982534e-05,0.000150794341,0.000195647295,0.0001031410539999,0.00429067151875,0.00277508508275
2023-03-05 23:42:17.194727,20,False,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",Other,0.0501239999999999,0.022014,0.047583,0.0355165,0.0373754999999999,0.0408114999999999,0.0653015,0.0669985,0.145581,0.058664,0.6617258176757131,0.6853755,0.7104014999999999,0.69756,0.177333,0.20196,0.001055249824,0.0002427340239999,0.0015617353109999,0.0005124792527499,0.00045670639475,0.00044670626275,0.00136070647275,0.00109432752275,0.0001984502389999,8.469572399999998e-05,7.636434251555349e-05,0.0001496986047499,0.00022663671275,0.00011345173,0.0081867137609999,0.0090760724
2023-03-05 23:42:17.168050,20,False,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",African-American,0.3286209999999999,0.01769,0.3159099999999999,0.0308115,0.360936,0.038164,0.527572,0.0712245,0.145581,0.051427,0.6532359081419624,0.703045,0.6385975,0.6691485,0.3525764999999999,0.352292,0.000423881369,0.0001050739499999,0.00087017253,0.0004590575627499,0.000356039144,0.000329855574,0.000571883486,0.00108254890475,0.0001984502389999,7.1152061e-05,7.496964845477109e-05,0.000139405795,0.00025405941875,0.0001225604927499,0.00234647397275,0.0007396891459999
2023-03-05 23:42:17.158046,20,False,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",Caucasian,0.022396,0.0255505,0.0290174999999999,0.0449189999999999,0.026275,0.0263729999999999,0.0509175,0.04745,0.145581,0.0647184999999999,0.6567849686847598,0.694006,0.6712665,0.6823175,0.0843375,0.062211,0.000173538994,0.0002239667647499,0.00042178425875,0.000712388429,0.000534744665,0.000354447211,0.00204657940875,0.0010602016799999,0.0001984502389999,9.876937275e-05,0.0001225974820929,0.0002015473039999,0.00031253637275,0.00017214248875,0.00091352044875,0.000686689579
2023-03-05 23:42:03.967693,20,False,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",Hispanic,0.097411,0.2372474999999999,0.0606385,0.175098,0.115841,0.259915,0.1878949999999999,0.3106764999999999,0.0091159999999999,0.138865,0.6764787752261656,0.6805929999999999,0.7757665,0.7249355,0.2055615,0.291847,0.0016366350889999,0.00075061061875,0.00095697035275,0.000669538426,0.001768613609,0.000390703535,0.004723904535,0.00032563783275,6.676336400000001e-05,0.0002670777949999,0.0001230962789271,0.000231637471,0.0002474502427499,0.00014454040475,0.00133838567275,0.005009825161
2023-03-05 23:42:03.957665,20,False,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",Other,0.1259525,0.236895,0.090614,0.1748545,0.150926,0.259597,0.2445144999999999,0.310204,0.0091159999999999,0.138518,0.6765831593597773,0.6805514999999999,0.7762789999999999,0.7251315,0.2400785,0.3679624999999999,0.00200361035875,0.000766692995,0.0016227161539999,0.0007544994147499,0.0021200281639999,0.0004181809709999,0.00611669716475,0.000351420694,6.676336400000001e-05,0.000281104486,0.0001188335030695,0.00022747492275,0.000246604949,0.00013924894275,0.00205744731275,0.0054375587187499
2023-03-05 23:42:03.948607,20,False,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",African-American,0.1770874999999999,0.2367904999999999,0.1305515,0.1758915,0.2135989999999999,0.2597879999999999,0.290202,0.311228,0.0091159999999999,0.1378905,0.6763743910925539,0.6810000000000002,0.773971,0.7243695000000001,0.2838599999999999,0.368762,0.00088364832875,0.0008520386947499,0.00118185315275,0.0007934619227499,0.001037625779,0.0004865721059999,0.001469874656,0.0004476904059999,6.676336400000001e-05,0.00032006348475,0.0001273372626901,0.0002247195099999,0.0003407250789999,0.0001713383347499,0.00157133353,0.001769437196
2023-03-05 23:42:03.936798,20,False,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",Caucasian,0.12988,0.2373014999999999,0.0781395,0.1756049999999999,0.151369,0.260069,0.263955,0.310904,0.0091159999999999,0.138726,0.6763048016701461,0.6805160000000001,0.775387,0.724723,0.2248284999999999,0.3144049999999999,0.00071932368,0.00078184160275,0.00056899147475,0.000768602195,0.0006312542989999,0.0004065073689999,0.002207178445,0.000347926064,6.676336400000001e-05,0.000312691154,0.0001179327631552,0.000221096464,0.0002677498509999,0.0001442056709999,0.00087885888275,0.0012820275149999
